id,name,credits,college,prereqs
CMPSC 174A,Fundamentals of Database Systems,4,College of Engineering,CMPSC 130A
CMPSC 174B,Design and Implementation Techniques of Database Systems,4,College of Engineering,CMPSC 130B
CMPSC 174N,Introduction to Databases,4,College of Engineering,CMPSC 130A
CMPSC 176A,Introduction to Computer Communication Networks,4,College of Engineering,"CMPSC 32 | PSTAT 120A, ECE 139"
CMPSC 176B,Network Computing,4,College of Engineering,CMPSC 176A
CMPSC 176C,Advanced Topics in Internet Computing,4,College of Engineering,CMPSC 176A
CMPSC 177,Computer Security,4,College of Engineering,CMPSC 170
CMPSC 178,Introduction to Cryptography,4,College of Engineering,"CMPSC 24, CMPSC 40 | PSTAT 120A, PSTAT 121A, ECE 139"
CMPSC 180,Computer Graphics,4,College of Engineering,CMPSC 130A
CMPSC 181,Introduction to Computer Vision,4,College of Engineering,
CMPSC 182,Multimedia Computing,4,College of Engineering,
CMPSC 184,Mobile Application Development,4,College of Engineering,"CMPSC 130A | CMPSC 56, CMPSC 156"
CMPSC 185,Human-Computer Interaction,4,College of Engineering,
CMPSC 186,Internet of Things (IoT) Systems,4,College of Engineering,"| CMPSC 32, CMPSC 130A"
CMPSC 188,Introduction to Natural Language Processing,4,College of Engineering,
CMPSC 189A,Senior Computer Systems Project,4,College of Engineering,"| CMPSC 48, CMPSC 56, CMPSC 148, CMPSC 156, CMPSC 172"
CMPSC 189B,Senior Computer Systems Project,4,College of Engineering,CMPSC 189A
CMPSC 190,Special Topics in Computer Science,4,College of Engineering,
CMPSC 190A,Special Topics in Computer Science: Foundations,4,College of Engineering,
CMPSC 190B,Special Topics in Computer Science: Software Systems,4,College of Engineering,
CMPSC 190C,Special Topics in Computer Science: Programming Languages and Software Engineering,4,College of Engineering,
CMPSC 190D,Special Topics in Computer Science: Information Management,4,College of Engineering,
CMPSC 190DA,Special Topics in Computer Science,4,College of Engineering,
CMPSC 190DB,Special Topics in Computer Science,4,College of Engineering,
CMPSC 190DC,Special Topics in Computer Science,4,College of Engineering,
CMPSC 190DD,Special Topics in Computer Science,4,College of Engineering,
CMPSC 190DE,Special Topics in Computer Science,4,College of Engineering,
CMPSC 190DF,Special Topics in Computer Science,4,College of Engineering,
CMPSC 190E,Special Topics in Computer Science: Architectures,4,College of Engineering,
CMPSC 190F,Special Topics in Computer Science: Networking,4,College of Engineering,
CMPSC 190G,Special Topics in Computer Science: Security,4,College of Engineering,
CMPSC 190H,Special Topics in Computer Science: Scientific Computing,4,College of Engineering,
CMPSC 190I,Special Topics in Computer Science: Intelligent and Interactive Systems,4,College of Engineering,
CMPSC 190J,Special Topics in Computer Science: General,4,College of Engineering,
CMPSC 190K,Special Topics in Computer Science: Computer Systems Modeling and Analysis,4,College of Engineering,
CMPSC 190N,Special Topics in Computer Science: General,4,College of Engineering,
CMPSC 192,Projects in Computer Science,10,College of Engineering,
CMPSC 193,Internship in Industry,12,College of Engineering,
CMPSC 196,Undergraduate Research,12,College of Engineering,
CMPSC 196B,Undergraduate Research,12,College of Engineering,"CMPSC 196, CMPSC 2"
CMPSC 199,Independent Studies in Computer Science,30,College of Engineering,
CMPSC 2,Computational Thinking for Scientists,4,College of Engineering,MATH 4A
CMPSC 209,Logic and Applications in Computer Science,4,College of Engineering,
CMPSC 211A,Matrix Analysis and Computation,4,College of Engineering,
CMPSC 211B,Numerical Simulation,4,College of Engineering,
CMPSC 211C,Numerical Solution of Partial Differential Equations--Finite Difference Methods,4,College of Engineering,
CMPSC 211D,Numerical Solution of Partial Differential Equations--Finite Element Methods,4,College of Engineering,
CMPSC 216,Level Set Methods,4,College of Engineering,"| CMPSC 211C, CH E 211C, ECE 210C, ME 210C"
CMPSC 219,Sparse Matrix Algorithms,4,College of Engineering,
CMPSC 220,Theory of Computation and Complexity,4,College of Engineering,CMPSC 186
CMPSC 225,Information Theory,4,College of Engineering,"| ECE 139, PSTAT 120A, PSTAT 120B"
CMPSC 230,"Approximations, NP-Completeness and Algorithms",4,College of Engineering,"CMPSC 130A, CMPSC 130B"
CMPSC 231,Topics in Combinatorial Algorithms,4,College of Engineering,CMPSC 130B
